civ_type,civ_name,age,tradition_type,tradition_name,tradition_description,tradition_description_clean,modifier_id
CIVILIZATION_MISSISSIPPIAN,Mississippian,Exploration,TRADITION_MISSISSIPPIAN_SYNCRETISM_EXPLORATION,Sacrificial Effigies I,Ranged Units apply the [icon:PLOT_BURNING] [TIP:LOC_PEDIA_CONCEPTS_BURNING_TOOLTIP]Burning[/TIP] status to tiles for 2 turns when attacking.,Ranged Units apply the Burning status to tiles for 2 turns when attacking.,MOD_UNLOCK_MISSISSIPPIAN_SYNCRETISM_EXPLORATION
CIVILIZATION_MISSISSIPPIAN,Mississippian,Modern,TRADITION_MISSISSIPPIAN_SYNCRETISM_MODERN,Sacrificial Effigies II,Ranged Units apply the [icon:PLOT_BURNING] [TIP:LOC_PEDIA_CONCEPTS_BURNING_TOOLTIP]Burning[/TIP] status to tiles for 2 turns when attacking. +50 [icon:YIELD_GOLD] per [icon:RADIAL_RESOURCES] Resource on [icon:ROUTE_TRADE] Trade Route creation. Scales by Gamespeed.,Ranged Units apply the Burning status to tiles for 2 turns when attacking. +50 Gold per Resource on Trade Route creation. Scales by Gamespeed.,MOD_UNLOCK_MISSISSIPPIAN_SYNCRETISM_MODERN
CIVILIZATION_MONGOLIA,Mongolia,Antiquity,TRADITION_MONGOLIA_SYNCRETISM_ANTIQUITY,Jarugachi I,"+1 [icon:YIELD_DIPLOMACY] and [icon:YIELD_PRODUCTION] on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Horse Resources[/TIP], doubled in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age.","+1 Influence and Production on Horse Resources, doubled in Captured Settlements from any Age.",MOD_UNLOCK_MONGOLIA_SYNCRETISM_ANTIQUITY
CIVILIZATION_MONGOLIA,Mongolia,Modern,TRADITION_MONGOLIA_SYNCRETISM_MODERN,Jarugachi II,"+2 [icon:YIELD_DIPLOMACY] and [icon:YIELD_PRODUCTION] on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Horse Resources[/TIP], doubled in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age. +50% [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] from [TIP:LOC_PEDIA_CONCEPTS_FLANKING_TOOLTIP]Flanking[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_CAVALRY_UNITS_TOOLTIP]Cavalry Units[/TIP].","+2 Influence and Production on Horse Resources, doubled in Captured Settlements from any Age. +50% Combat Strength from Flanking for Cavalry Units.",MOD_UNLOCK_MONGOLIA_SYNCRETISM_MODERN
CIVILIZATION_MUGHAL,Mughal,Antiquity,TRADITION_MUGHAL_SYNCRETISM_ANTIQUITY,Karkhanas I,"+1 [icon:YIELD_GOLD] on Farms in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP], [icon:YIELD_WAREHOUSE] Warehouse Bonus.","+1 Gold on Farms in Towns, Warehouse Bonus.",MOD_UNLOCK_MUGHAL_SYNCRETISM_ANTIQUITY
CIVILIZATION_MUGHAL,Mughal,Exploration,TRADITION_MUGHAL_SYNCRETISM_EXPLORATION,Karkhanas II,"+2 [icon:YIELD_GOLD] on Farms in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP], [icon:YIELD_WAREHOUSE] Warehouse Bonus.","+2 Gold on Farms in Towns, Warehouse Bonus.",MOD_UNLOCK_MUGHAL_SYNCRETISM_EXPLORATION
CIVILIZATION_NEPAL,Nepal,Antiquity,TRADITION_NEPAL_SYNCRETISM_ANTIQUITY,Kumar and Kumari I,+1 [icon:YIELD_CULTURE] Culture on [icon:YIELD_WAREHOUSE] [TIP:LOC_PEDIA_CONCEPTS_WAREHOUSE_TOOLTIP]Warehouse Buildings[/TIP]. +1 [icon:YIELD_DIPLOMACY] Influence on Mountains.,+1 Culture on Warehouse Buildings. +1 Influence on Mountains.,MOD_UNLOCK_NEPAL_SYNCRETISM_ANTIQUITY
CIVILIZATION_NEPAL,Nepal,Exploration,TRADITION_NEPAL_SYNCRETISM_EXPLORATION,Kumar and Kumari II,+2 [icon:YIELD_CULTURE] Culture on [icon:YIELD_WAREHOUSE] [TIP:LOC_PEDIA_CONCEPTS_WAREHOUSE_TOOLTIP]Warehouse Buildings[/TIP]. +1 [icon:YIELD_DIPLOMACY] Influence on Mountains.,+2 Culture on Warehouse Buildings. +1 Influence on Mountains.,MOD_UNLOCK_NEPAL_SYNCRETISM_EXPLORATION
CIVILIZATION_NORMAN,Norman,Antiquity,TRADITION_NORMAN_SYNCRETISM_ANTIQUITY,Sauveté I,"+1 [icon:YIELD_CULTURE] and [icon:YIELD_GOLD] on [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP], doubled in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age. +25 [icon:Action_Heal] HP on [icon:CITY_FORTIFIED] Fortified Districts.","+1 Culture and Gold on Fortified Districts, doubled in Captured Settlements from any Age. +25 HP on Fortified Districts.",MOD_UNLOCK_NORMAN_SYNCRETISM_ANTIQUITY
CIVILIZATION_NORMAN,Norman,Modern,TRADITION_NORMAN_SYNCRETISM_MODERN,Sauveté II,"+2 [icon:YIELD_CULTURE] and [icon:YIELD_GOLD] on [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP], doubled in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age. +25 [icon:Action_Heal] HP on [icon:CITY_FORTIFIED] Fortified Districts.","+2 Culture and Gold on Fortified Districts, doubled in Captured Settlements from any Age. +25 HP on Fortified Districts.",MOD_UNLOCK_NORMAN_SYNCRETISM_MODERN
CIVILIZATION_OTTOMANS,Ottomans,Antiquity,TRADITION_OTTOMANS_SYNCRETISM_ANTIQUITY,Mehterân I,+5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_SIEGE_UNITS_TOOLTIP]Siege Units[/TIP]. +1 [icon:UNIT_MOVEMENT_ICON] Movement for [TIP:LOC_PEDIA_CONCEPTS_SIEGE_UNITS_TOOLTIP]Siege[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_SUPPORT_UNIT_TOOLTIP]Support Units[/TIP].,+5 Combat Strength for Siege Units. +1 Movement for Siege and Support Units.,MOD_UNLOCK_OTTOMANS_SYNCRETISM_ANTIQUITY
CIVILIZATION_OTTOMANS,Ottomans,Exploration,TRADITION_OTTOMANS_SYNCRETISM_EXPLORATION,Mehterân II,+5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_SIEGE_UNITS_TOOLTIP]Siege Units[/TIP]. +1 [icon:UNIT_MOVEMENT_ICON] Movement for [TIP:LOC_PEDIA_CONCEPTS_SIEGE_UNITS_TOOLTIP]Siege[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_SUPPORT_UNIT_TOOLTIP]Support Units[/TIP]. Training a [TIP:LOC_PEDIA_CONCEPTS_SIEGE_UNITS_TOOLTIP]Siege Unit[/TIP] grants [icon:YIELD_HAPPINESS] Happiness towards [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebrations[/TIP] equal to 50% of the Unit’s [icon:YIELD_PRODUCTION] Production cost.,+5 Combat Strength for Siege Units. +1 Movement for Siege and Support Units. Training a Siege Unit grants Happiness towards Celebrations equal to 50% of the Unit’s Production cost.,MOD_UNLOCK_OTTOMANS_SYNCRETISM_EXPLORATION
CIVILIZATION_PERSIA,Achaemenid Persia,Exploration,TRADITION_PERSIA_SYNCRETISM_EXPLORATION,Fractal Rule I,+1 [icon:YIELD_CULTURE] on [icon:CITY_RURAL] Unique Improvements. +1 [icon:YIELD_GOLD] on Unique Improvements and Buildings in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age.,+1 Culture on Unique Improvements. +1 Gold on Unique Improvements and Buildings in Captured Settlements from any Age.,MOD_UNLOCK_PERSIA_SYNCRETISM_EXPLORATION
CIVILIZATION_PERSIA,Achaemenid Persia,Modern,TRADITION_PERSIA_SYNCRETISM_MODERN,Fractal Rule II,+2 [icon:YIELD_CULTURE] on [icon:CITY_RURAL] Unique Improvements. +2 [icon:YIELD_GOLD] on Unique Improvements and Buildings in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age.,+2 Culture on Unique Improvements. +2 Gold on Unique Improvements and Buildings in Captured Settlements from any Age.,MOD_UNLOCK_PERSIA_SYNCRETISM_MODERN
CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates,Antiquity,TRADITION_PIRATE_REPUBLIC_SYNCRETISM_ANTIQUITY,Brethren of the Coast I,+2 [icon:YIELD_PRODUCTION] Production on [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on or adjacent to Coast. -1 [icon:YIELD_HAPPINESS] Happiness on [icon:CITY_URBAN] Districts not on or adjacent to Coast.,+2 Production on Districts on or adjacent to Coast. -1 Happiness on Districts not on or adjacent to Coast.,MOD_UNLOCK_PIRATE_REPUBLIC_SYNCRETISM_ANTIQUITY
CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates,Modern,TRADITION_PIRATE_REPUBLIC_SYNCRETISM_MODERN,Brethren of the Coast II,+3 [icon:YIELD_PRODUCTION] Production on [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on or adjacent to Coast. -2 [icon:YIELD_HAPPINESS] Happiness on [icon:CITY_URBAN] Districts not on or adjacent to Coast.,+3 Production on Districts on or adjacent to Coast. -2 Happiness on Districts not on or adjacent to Coast.,MOD_UNLOCK_PIRATE_REPUBLIC_SYNCRETISM_MODERN
CIVILIZATION_PRUSSIA,Prussia,Antiquity,TRADITION_PRUSSIA_SYNCRETISM_ANTIQUITY,Tugenden I,+2 [icon:YIELD_SCIENCE] from active [icon:SANCTIONS] [/b][TIP:LOC_PEDIA_CONCEPTS_SANCTION_TOOLTIP]Sanctions[/TIP] you started.,+2 Science from active Sanctions you started.,MOD_UNLOCK_PRUSSIA_SYNCRETISM_ANTIQUITY
CIVILIZATION_PRUSSIA,Prussia,Exploration,TRADITION_PRUSSIA_SYNCRETISM_EXPLORATION,Tugenden II,+3 [icon:YIELD_SCIENCE] from active [icon:SANCTIONS] [/b][TIP:LOC_PEDIA_CONCEPTS_SANCTION_TOOLTIP]Sanctions[/TIP] you started.,+3 Science from active Sanctions you started.,MOD_UNLOCK_PRUSSIA_SYNCRETISM_EXPLORATION
CIVILIZATION_QAJAR,Qajar,Antiquity,TRADITION_QAJAR_SYNCRETISM_ANTIQUITY,Waqāye'-e Ettefāqiya I,+1 [icon:YIELD_DIPLOMACY] Influence in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP] under the [icon:SETTLEMENT_LIMIT] [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_LIMIT_TOOLTIP]Settlement Limit[/TIP].,+1 Influence in the Capital for every Settlement under the Settlement Limit.,MOD_UNLOCK_QAJAR_SYNCRETISM_ANTIQUITY
CIVILIZATION_QAJAR,Qajar,Exploration,TRADITION_QAJAR_SYNCRETISM_EXPLORATION,Waqāye'-e Ettefāqiya II,+1 [icon:YIELD_HAPPINESS] Happiness and [icon:YIELD_DIPLOMACY] Influence in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP] under the [icon:SETTLEMENT_LIMIT] [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_LIMIT_TOOLTIP]Settlement Limit[/TIP].,+1 Happiness and Influence in the Capital for every Settlement under the Settlement Limit.,MOD_UNLOCK_QAJAR_SYNCRETISM_EXPLORATION
CIVILIZATION_QING,Qing,Antiquity,TRADITION_QING_SYNCRETISM_ANTIQUITY,Ethnic Stratification I,+2 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP] in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital.,+2 Resource Capacity in the Capital.,MOD_UNLOCK_QING_SYNCRETISM_ANTIQUITY
CIVILIZATION_QING,Qing,Exploration,TRADITION_QING_SYNCRETISM_EXPLORATION,Ethnic Stratification II,+2 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP] in [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] founded by you.,+2 Resource Capacity in Cities founded by you.,MOD_UNLOCK_QING_SYNCRETISM_EXPLORATION
CIVILIZATION_ROME,Rome,Exploration,TRADITION_ROME_SYNCRETISM_EXPLORATION,Limitanei I,+1 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Infantry Units for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted in the [icon:GOVERNMENT] Government.,+1 Combat Strength for Infantry Units for every Tradition slotted in the Government.,MOD_UNLOCK_ROME_SYNCRETISM_EXPLORATION
CIVILIZATION_ROME,Rome,Modern,TRADITION_ROME_SYNCRETISM_MODERN,Limitanei II,+1 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Infantry Units for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted in the [icon:GOVERNMENT] Government. +3 [icon:YIELD_CULTURE] in the Capital for every Town.,+1 Combat Strength for Infantry Units for every Tradition slotted in the Government. +3 Culture in the Capital for every Town.,MOD_UNLOCK_ROME_SYNCRETISM_MODERN
CIVILIZATION_RUSSIA,Russia,Antiquity,TRADITION_RUSSIA_SYNCRETISM_ANTIQUITY,Skazki I,+2 [icon:YIELD_CULTURE] on [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP]. +2 [icon:YIELD_SCIENCE] on [icon:WONDER] Wonders in Tundra.,+2 Culture on Wonders. +2 Science on Wonders in Tundra.,MOD_UNLOCK_RUSSIA_SYNCRETISM_ANTIQUITY
CIVILIZATION_RUSSIA,Russia,Exploration,TRADITION_RUSSIA_SYNCRETISM_EXPLORATION,Skazki II,+3 [icon:YIELD_CULTURE] on [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP]. +3 [icon:YIELD_SCIENCE] on [icon:WONDER] Wonders in Tundra.,+3 Culture on Wonders. +3 Science on Wonders in Tundra.,MOD_UNLOCK_RUSSIA_SYNCRETISM_EXPLORATION
CIVILIZATION_SHAWNEE,Shawnee,Antiquity,TRADITION_SHAWNEE_SYNCRETISM_ANTIQUITY,Strategic Gifts I,+1 [icon:YIELD_DIPLOMACY] Influence in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] adjacent to [TIP:LOC_PEDIA_CONCEPTS_NAVIGABLE_RIVER_TOOLTIP]Navigable Rivers[/TIP]. +2 [icon:YIELD_GOLD] Gold per [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Influence in Cities adjacent to Navigable Rivers. +2 Gold per City-State you are Suzerain of.,MOD_UNLOCK_SHAWNEE_SYNCRETISM_ANTIQUITY
CIVILIZATION_SHAWNEE,Shawnee,Modern,TRADITION_SHAWNEE_SYNCRETISM_MODERN,Strategic Gifts II,+2 [icon:YIELD_DIPLOMACY] Influence in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] adjacent to [TIP:LOC_PEDIA_CONCEPTS_NAVIGABLE_RIVER_TOOLTIP]Navigable Rivers[/TIP]. +4 [icon:YIELD_GOLD] Gold per [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+2 Influence in Cities adjacent to Navigable Rivers. +4 Gold per City-State you are Suzerain of.,MOD_UNLOCK_SHAWNEE_SYNCRETISM_MODERN
CIVILIZATION_SIAM,Siam,Antiquity,TRADITION_SIAM_SYNCRETISM_ANTIQUITY,Chatusadom I,+1 [icon:YIELD_CULTURE] and [icon:YIELD_DIPLOMACY] on the Palace for each [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Culture and Influence on the Palace for each City-State you are Suzerain of.,MOD_UNLOCK_SIAM_SYNCRETISM_ANTIQUITY
CIVILIZATION_SIAM,Siam,Exploration,TRADITION_SIAM_SYNCRETISM_EXPLORATION,Chatusadom II,+2 [icon:YIELD_CULTURE] and [icon:YIELD_DIPLOMACY] on the Palace for each [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+2 Culture and Influence on the Palace for each City-State you are Suzerain of.,MOD_UNLOCK_SIAM_SYNCRETISM_EXPLORATION
CIVILIZATION_SILLA,Silla Korea,Exploration,TRADITION_SILLA_SYNCRETISM_EXPLORATION,Revised Bone-Rank I,+1 [icon:YIELD_CULTURE] Culture and [icon:YIELD_SCIENCE] Science for each imported [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP].,+1 Culture and Science for each imported Resource.,MOD_UNLOCK_SILLA_SYNCRETISM_EXPLORATION
CIVILIZATION_SILLA,Silla Korea,Modern,TRADITION_SILLA_SYNCRETISM_MODERN,Revised Bone-Rank II,+2 [icon:YIELD_CULTURE] Culture and [icon:YIELD_SCIENCE] Science for each imported [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP].,+2 Culture and Science for each imported Resource.,MOD_UNLOCK_SILLA_SYNCRETISM_MODERN
CIVILIZATION_SONGHAI,Songhai,Antiquity,TRADITION_SONGHAI_SYNCRETISM_ANTIQUITY,Charismatic Kingship I,"+1 [icon:YIELD_GOLD] Gold on [icon:CITY_RURAL] Improvements on [icon:CITY_UNIMPROVED] Desert Terrain, doubled on Unique Improvements.","+1 Gold on Improvements on Desert Terrain, doubled on Unique Improvements.",MOD_UNLOCK_SONGHAI_SYNCRETISM_ANTIQUITY
CIVILIZATION_SONGHAI,Songhai,Modern,TRADITION_SONGHAI_SYNCRETISM_MODERN,Charismatic Kingship II,"+2 [icon:YIELD_GOLD] Gold on [icon:CITY_RURAL] Improvements on [icon:CITY_UNIMPROVED] Desert Terrain, doubled on Unique Improvements.","+2 Gold on Improvements on Desert Terrain, doubled on Unique Improvements.",MOD_UNLOCK_SONGHAI_SYNCRETISM_MODERN
CIVILIZATION_SPAIN,Spain,Antiquity,TRADITION_SPAIN_SYNCRETISM_ANTIQUITY,Corregidor I,+2 [icon:YIELD_GOLD] on [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on or adjacent to Coast.,+2 Gold on Districts on or adjacent to Coast.,MOD_UNLOCK_SPAIN_SYNCRETISM_ANTIQUITY
CIVILIZATION_SPAIN,Spain,Modern,TRADITION_SPAIN_SYNCRETISM_MODERN,Corregidor II,+2 [icon:YIELD_GOLD] on [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on or adjacent to Coast. +10% [icon:YIELD_FOOD] and [icon:YIELD_PRODUCTION] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] in [TIP:LOC_PEDIA_CONCEPTS_DISTANT_LANDS_TOOLTIP]Distant Lands[/TIP].,+2 Gold on Districts on or adjacent to Coast. +10% Food and Production in Cities in Distant Lands.,MOD_UNLOCK_SPAIN_SYNCRETISM_MODERN
CIVILIZATION_TONGA,Tonga,Exploration,TRADITION_TONGA_SYNCRETISM_EXPLORATION,T’ui Ha’atakalaua I,+3 [icon:YIELD_CULTURE] Culture and [icon:YIELD_GOLD] Gold in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route[/TIP] with a [icon:CITYSTATE] City-State.,+3 Culture and Gold in the Capital for every Trade Route with a City-State.,MOD_UNLOCK_TONGA_SYNCRETISM_EXPLORATION
CIVILIZATION_TONGA,Tonga,Modern,TRADITION_TONGA_SYNCRETISM_MODERN,T’ui Ha’atakalaua II,+4 [icon:YIELD_CULTURE] Culture and [icon:YIELD_GOLD] Gold in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route[/TIP] with a [icon:CITYSTATE] City-State.,+4 Culture and Gold in the Capital for every Trade Route with a City-State.,MOD_UNLOCK_TONGA_SYNCRETISM_MODERN
