tradition_type,name,slot,description_raw,description_clean
TRADITION_CERRO_RICO_II,Cerro Rico II,Tradition,"+1 [icon:YIELD_GOLD] on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP], or +3 [icon:YIELD_GOLD] in [TIP:LOC_PEDIA_CONCEPTS_DISTANT_LANDS_TOOLTIP]Distant Lands[/TIP].","+1 Gold on Resources, or +3 Gold in Distant Lands."
TRADITION_CHARISMATIC_LEADER,Charismatic Leader,Policy,+2 [icon:YIELD_CULTURE] on the Palace.,+2 Culture on the Palace.
TRADITION_CHARTERS,Charters,Policy,+2 [icon:YIELD_GOLD] from [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP]. +1 [icon:YIELD_HAPPINESS] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] on [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,+2 Gold from Specialists. +1 Happiness Maintenance on Specialists.
TRADITION_CHARVAKA_I,Charvaka I,Tradition,+1 [icon:YIELD_GOLD] for every 5 excess [icon:YIELD_HAPPINESS] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,+1 Gold for every 5 excess Happiness in Cities.
TRADITION_CHARVAKA_II,Charvaka II,Tradition,+1 [icon:YIELD_GOLD] for every 5 excess [icon:YIELD_HAPPINESS] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP]. +10% [icon:YIELD_PRODUCTION] in Cities while in a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].,+1 Gold for every 5 excess Happiness in Cities. +10% Production in Cities while in a Celebration.
TRADITION_CHIVALRY,Chivalry,Policy,+30% [icon:YIELD_PRODUCTION] towards training [TIP:LOC_PEDIA_CONCEPTS_CAVALRY_UNITS_TOOLTIP]Cavalry Units[/TIP].,+30% Production towards training Cavalry Units.
TRADITION_CHOLA_SYNCRETISM_ANTIQUITY,Veera Banaju Dharma I,Tradition,+5 [icon:YIELD_DIPLOMACY] if you have 5 or more [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP]. +50% [icon:YIELD_PRODUCTION] towards training [icon:UNIT_MERCHANT] Merchants.,+5 Influence if you have 5 or more Trade Routes. +50% Production towards training Merchants.
TRADITION_CHOLA_SYNCRETISM_MODERN,Veera Banaju Dharma II,Tradition,+10 [icon:YIELD_DIPLOMACY] if you have 5 or more [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP]. +100% [icon:YIELD_PRODUCTION] towards training [icon:UNIT_MERCHANT] Merchants.,+10 Influence if you have 5 or more Trade Routes. +100% Production towards training Merchants.
TRADITION_CITY_GUARD,City Guard,Policy,+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP].,+3 Combat Strength for Fortified Districts.
TRADITION_CITY_OF_PEACE,City of Peace Tradition II,Tradition,All [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] receive a +1 [icon:YIELD_SCIENCE] Adjacency with the City Hall and Palace.,All Buildings receive a +1 Science Adjacency with the City Hall and Palace.
TRADITION_CIVIL_ENGINEERING,Civil Engineering,Policy,+30% [icon:YIELD_PRODUCTION] towards Overbuilding.,+30% Production towards Overbuilding.
TRADITION_CLAN_NETWORKS,Clan Networks,Policy,+20% [icon:GROWTH_RATE] [TIP:LOC_PEDIA_CONCEPTS_GROWTH_RATE_TOOLTIP]Growth Rate[/TIP] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] with a [icon:PROJECT_GROWTH] Growing Focus.,+20% Growth Rate in Towns with a Growing Focus.
TRADITION_CLAN_SOCIETY_I,Clan Society I,Tradition,+2 [icon:YIELD_FOOD] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] for each other owned [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP] within 6 tiles.,+2 Food in Settlements for each other owned Settlement within 6 tiles.
TRADITION_CLAN_SOCIETY_II,Clan Society II,Tradition,+2 [icon:YIELD_FOOD] and [icon:YIELD_HAPPINESS] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] for each other owned [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP] within 6 tiles.,+2 Food and Happiness in Settlements for each other owned Settlement within 6 tiles.
TRADITION_COCORICO_I,Cocorico I,Tradition,"When you defeat an enemy Unit, gain [icon:YIELD_CULTURE] equal to 15% of its [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP]. +2 [icon:YIELD_HAPPINESS] on Military [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] and [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].","When you defeat an enemy Unit, gain Culture equal to 15% of its Combat Strength. +2 Happiness on Military Buildings and Wonders."
TRADITION_COCORICO_II,Cocorico II,Tradition,"When you defeat an enemy Unit, gain [icon:YIELD_CULTURE] equal to 25% of its [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP]. +2 [icon:YIELD_HAPPINESS] on Military [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] and [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].","When you defeat an enemy Unit, gain Culture equal to 25% of its Combat Strength. +2 Happiness on Military Buildings and Wonders."
TRADITION_COHONG_I,Cohong I,Tradition,+1 [icon:YIELD_DIPLOMACY] Influence in the Capital for every 2 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP] assigned to it.,+1 Influence in the Capital for every 2 Resources assigned to it.
TRADITION_COHONG_II,Cohong II,Tradition,+1 [icon:YIELD_DIPLOMACY] Influence in [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] for every 2 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP] assigned to them.,+1 Influence in Cities for every 2 Resources assigned to them.
TRADITION_COINAGE,Coinage,Policy,+1 [icon:YIELD_GOLD] for each imported [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP]. +1 [icon:Action_Move] Movement for [icon:UNIT_MERCHANT] Merchants.,+1 Gold for each imported Resource. +1 Movement for Merchants.
TRADITION_COKING_I,Coking I,Tradition,+1 [icon:YIELD_PRODUCTION] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to it.,+1 Production in the Capital for every Resource assigned to it.
TRADITION_COKING_II,Coking II,Tradition,+1 [icon:YIELD_PRODUCTION] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to them.,+1 Production in Cities for every Resource assigned to them.
TRADITION_COLLECTIVIZATION,Collectivization,Policy,[icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] gain [icon:YIELD_FOOD] equal to your [icon:ATTRIBUTE_EXPANSIONIST] Expansionist [TIP:LOC_PEDIA_CONCEPTS_ATTRIBUTE_TOOLTIP]Attribute[/TIP]. -5 [icon:YIELD_HAPPINESS] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,Towns gain Food equal to your Expansionist Attribute. -5 Happiness in Cities.
TRADITION_COLONIAL_SURPLUS,Colonial Surplus,Policy,+2 [icon:YIELD_PRODUCTION] from [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP]. +1 [icon:YIELD_HAPPINESS] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] on [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,+2 Production from Specialists. +1 Happiness Maintenance on Specialists.
TRADITION_COMMISSIONED_OFFICERS,Commissioned Officers,Policy,+30% [TIP:LOC_PEDIA_CONCEPTS_EXPERIENCE_TOOLTIP]Commander Experience[/TIP]. +1 [icon:Action_Move] Movement for Fleets and Armies.,+30% Commander Experience. +1 Movement for Fleets and Armies.
TRADITION_COMMODITIES,Commodities,Policy,+1 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,+1 Resource Capacity in Cities.
TRADITION_COMMUNE,Commune,Policy,+20% [icon:YIELD_PRODUCTION] towards Overbuilding. +3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP].,+20% Production towards Overbuilding. +3 Combat Strength for Fortified Districts.
TRADITION_COMMUNISM_UNIQUE,The First International,Tradition,Decrease [icon:RELATIONSHIP] Relationship with Leaders of the opposing [icon:NOTIFICATION_IDEOLOGY_CHOSEN] Ideology with the most Factories.,Decrease Relationship with Leaders of the opposing Ideology with the most Factories.
TRADITION_COMPENDIOUS_BOOK_I,City of Peace Tradition I,Tradition,All [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] receive a +1 [icon:YIELD_SCIENCE] Adjacency with the Palace.,All Buildings receive a +1 Science Adjacency with the Palace.
TRADITION_COMPENDIOUS_BOOK_II,Compendious Book Tradition,Tradition,+2 [icon:YIELD_HAPPINESS] and [icon:YIELD_SCIENCE] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+2 Happiness and Science in Towns.
TRADITION_CONQUISTA,Conquista,Tradition,"+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for all Units in [TIP:LOC_PEDIA_CONCEPTS_DISTANT_LANDS_TOOLTIP]Distant Lands[/TIP], or +5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Naval Units.","+3 Combat Strength for all Units in Distant Lands, or +5 Combat Strength for Naval Units."
TRADITION_CONSCRIPTION,Conscription,Policy,-1 [icon:YIELD_GOLD] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] for Units.,-1 Gold Maintenance for Units.
TRADITION_CONSCRIPTION_RIOTS,Conscription Riots,Tradition,-10 [icon:YIELD_HAPPINESS] in all [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] while at [icon:WAR] War.,-10 Happiness in all Cities while at War.
TRADITION_CONSTITUTION,Constitution,Policy,+25% [icon:YIELD_FOOD] and [icon:YIELD_HAPPINESS] towards [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]maintaining[/TIP] [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,+25% Food and Happiness towards maintaining Specialists.
TRADITION_CON_KENH,Con Kênh,Tradition,[icon:YIELD_CULTURE] Culture and [icon:YIELD_FOOD] Food [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] gain a +1 [icon:YIELD_CULTURE] Adjacency for [icon:CITY_UNIMPROVED] Tropical Terrain.,Culture and Food Buildings gain a +1 Culture Adjacency for Tropical Terrain.
TRADITION_CORDON_SANITAIRE,Cordon Sanitaire,Tradition,"[TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP], [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP] and [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] with a [TIP:LOC_PEDIA_CONCEPTS_STATIONED_TOOLTIP]stationed[/TIP] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Commander[/TIP] are not damaged by [icon:YIELD_PLAGUE] Major Outbreaks.","Buildings, Improvements and Districts in Settlements with a stationed Commander are not damaged by Major Outbreaks."
TRADITION_CORRIDOS,Corridos,Tradition,+4 [icon:YIELD_HAPPINESS] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted into the [icon:GOVERNMENT] Government.,+4 Happiness in Cities for every Tradition slotted into the Government.
TRADITION_CRY_OF_DOLORES,Cry of Dolores,Tradition,+1 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP] in friendly territory for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted into the [icon:GOVERNMENT] Government.,+1 Combat Strength for Land Units and Naval Units in friendly territory for every Tradition slotted into the Government.
TRADITION_CULTURAL_IMPERIALISM,Cultural Imperialism,Policy,+6 [icon:YIELD_CULTURE] and [icon:YIELD_GOLD] for every [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+6 Culture and Gold for every City-State you are Suzerain of.
TRADITION_CURSUS_HONORUM,Cursus Honorum,Tradition,"+2 [icon:YIELD_CULTURE] on Diplomacy and Military [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP], doubled if a [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Building[/TIP] is both. [icon:UNIT_ARMY_COMMANDER] Army Commanders gain the [icon:NAR_REW_PROMOTION] Bulwark [TIP:LOC_PEDIA_CONCEPTS_PROMOTION_TOOLTIP]Promotion[/TIP] for free.","+2 Culture on Diplomacy and Military Buildings, doubled if a Building is both. Army Commanders gain the Bulwark Promotion for free."
TRADITION_DAI_VIET_SYNCRETISM_ANTIQUITY,Hành Chính Công I,Tradition,+1 [icon:YIELD_CULTURE] on [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP] and [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on [TIP:LOC_PEDIA_CONCEPTS_VEGETATED_TERRAIN_TOOLTIP]Vegetation[/TIP] in [icon:CITY_UNIMPROVED] Tropical Terrain.,+1 Culture on Improvements and Districts on Vegetation in Tropical Terrain.
TRADITION_DAI_VIET_SYNCRETISM_MODERN,Hành Chính Công II,Tradition,+1 [icon:YIELD_CULTURE] and [icon:YIELD_FOOD] on [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP] and [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on [TIP:LOC_PEDIA_CONCEPTS_VEGETATED_TERRAIN_TOOLTIP]Vegetation[/TIP] in [icon:CITY_UNIMPROVED] Tropical Terrain.,+1 Culture and Food on Improvements and Districts on Vegetation in Tropical Terrain.
TRADITION_DAR_AL_FONUN_I,Dār al-Fonūn I,Tradition,+3 [icon:YIELD_CULTURE] Culture and +3 [icon:YIELD_SCIENCE] Science in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP] under the [icon:SETTLEMENT_LIMIT] [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_LIMIT_TOOLTIP]Settlement Limit[/TIP].,+3 Culture and +3 Science in the Capital for every Settlement under the Settlement Limit.
TRADITION_DAR_AL_FONUN_II,Dār al-Fonūn II,Tradition,+10 [icon:YIELD_SCIENCE] Science and [icon:YIELD_CULTURE] Culture in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP] under the [icon:SETTLEMENT_LIMIT] [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_LIMIT_TOOLTIP]Settlement Limit[/TIP].,+10 Science and Culture in the Capital for every Settlement under the Settlement Limit.
TRADITION_DECENTRALIZATION,Decentralization,Tradition,-75% [icon:YIELD_GOLD] and [icon:YIELD_FOOD] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] with a [icon:TOWN_FOCUS] Specialization.,-75% Gold and Food in Towns with a Specialization.
TRADITION_DEFENSE_OF_THE_MOTHERLAND,Defense of the Motherland,Policy,+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for all [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP] in your own territory.,+3 Combat Strength for all Land Units in your own territory.
TRADITION_DELIAN_LEAGUE_I,Delian League I,Tradition,+30% [icon:YIELD_DIPLOMACY] towards initiating [icon:ENDEAVOR] [TIP:LOC_PEDIA_CONCEPTS_ENDEAVOR_TOOLTIP]Endeavors[/TIP].,+30% Influence towards initiating Endeavors.
TRADITION_DELIAN_LEAGUE_II,Delian League II,Tradition,+50% [icon:YIELD_DIPLOMACY] towards initiating and supporting [icon:ENDEAVOR] [TIP:LOC_PEDIA_CONCEPTS_ENDEAVOR_TOOLTIP]Endeavors[/TIP].,+50% Influence towards initiating and supporting Endeavors.
TRADITION_DEMAGOGY,Demagogy,Policy,Gain [icon:YIELD_HAPPINESS] on the Palace equal to your [icon:ATTRIBUTE_CULTURAL] Cultural [TIP:LOC_PEDIA_CONCEPTS_ATTRIBUTE_TOOLTIP]Attribute[/TIP].,Gain Happiness on the Palace equal to your Cultural Attribute.
TRADITION_DEMOCRACY_UNIQUE,Perpetual Peace,Tradition,Decrease [icon:RELATIONSHIP] Relationship with Leaders of the opposing [icon:NOTIFICATION_IDEOLOGY_CHOSEN] Ideology with the most captured [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP].,Decrease Relationship with Leaders of the opposing Ideology with the most captured Settlements.
TRADITION_DESPOTISM_UNHAPPINESS,Zhuhou,Tradition,-6 [icon:YIELD_HAPPINESS] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] without [TIP:LOC_PEDIA_CONCEPTS_WALL_TOOLTIP]Walls[/TIP].,-6 Happiness in Settlements without Walls.
TRADITION_DESPOTISM_UNREST,LOC_TRADITION_DESPOTISM_UNREST_NAME,Tradition,,
TRADITION_DEVAKOSHTA_I,Devakoshta I,Tradition,+2 [icon:YIELD_CULTURE] on Gold [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP].,+2 Culture on Gold Buildings.
TRADITION_DEVAKOSHTA_II,Devakoshta II,Tradition,+3 [icon:YIELD_CULTURE] on Gold [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP]. +50% [icon:YIELD_DIPLOMACY] towards [icon:DIPLOMATIC_ACTION] Diplomatic Actions with other Leaders if you have at least 5 [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP].,+3 Culture on Gold Buildings. +50% Influence towards Diplomatic Actions with other Leaders if you have at least 5 Trade Routes.
TRADITION_DE_FACTO,De Facto,Policy,+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for all Units in [TIP:LOC_PEDIA_CONCEPTS_DISTANT_LANDS_TOOLTIP]Distant Lands[/TIP]. Units gain +5 [icon:Action_Heal] Healing.,+3 Combat Strength for all Units in Distant Lands. Units gain +5 Healing.
TRADITION_DE_JURE,De Jure,Policy,+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for all Units in [TIP:LOC_PEDIA_CONCEPTS_HOMELANDS_TOOLTIP]Homelands[/TIP].,+3 Combat Strength for all Units in Homelands.
TRADITION_DIRIGISME,Dirigisme,Policy,+4 [icon:YIELD_GOLD] from [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP]. -3 [icon:YIELD_HAPPINESS] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+4 Gold from Specialists. -3 Happiness in Towns.
TRADITION_DIVINE_ENGINE_DIVISION,Divine Engine Division,Tradition,+2[icon:YIELD_SCIENCE] Science in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] with a [TIP:LOC_PEDIA_CONCEPTS_GARRISONED_TOOLTIP]Garrisoned[/TIP] Unit. +3 [icon:COMBAT_RANGED] Ranged Combat Strength to Ranged Units adjacent to another Ranged Unit.,+2Science Science in Settlements with a Garrisoned Unit. +3 Ranged Combat Strength to Ranged Units adjacent to another Ranged Unit.
TRADITION_DIVINE_MERCY,Divine Mercy,Tradition,"[TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP], [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP], and [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] that follow your [icon:NAR_REW_RELIGION] [TIP:LOC_PEDIA_CONCEPTS_RELIGION_TOOLTIP]Religion[/TIP] are not damaged by [icon:YIELD_PLAGUE] Minor Outbreaks.","Buildings, Improvements, and Districts in Settlements that follow your Religion are not damaged by Minor Outbreaks."
TRADITION_DIVINE_PUNISHMENT,Divine Punishment,Tradition,+5 [icon:YIELD_HAPPINESS] in [icon:YIELD_PLAGUE] [TIP:LOC_PEDIA_CONCEPTS_INFECTED_TOOLTIP]Infected[/TIP] [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] that follow your [icon:NAR_REW_RELIGION] [TIP:LOC_PEDIA_CONCEPTS_RELIGION_TOOLTIP]Religion[/TIP]. These [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] gain a [icon:UNIT_MIGRANT] Migrant when [icon:YIELD_PLAGUE] [TIP:LOC_PEDIA_CONCEPTS_INFECTED_TOOLTIP]Infected[/TIP].,+5 Happiness in Infected Settlements that follow your Religion. These Settlements gain a Migrant when Infected.
TRADITION_DIVINE_RIGHT,Divine Right,Policy,+10 [icon:YIELD_HAPPINESS] and +4 [icon:YIELD_DIPLOMACY] on the Palace.,+10 Happiness and +4 Influence on the Palace.
TRADITION_DRAFT,Draft,Policy,+25% [icon:YIELD_GOLD] towards purchasing Units and -1 [icon:YIELD_GOLD] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]maintenance[/TIP] for Units.,+25% Gold towards purchasing Units and -1 Gold maintenance for Units.
TRADITION_DRAMA_AND_POETRY,Drama and Poetry,Policy,+2 [icon:YIELD_CULTURE] on Culture [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP]. +20% [icon:YIELD_PRODUCTION] towards constructing Culture [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP].,+2 Culture on Culture Buildings. +20% Production towards constructing Culture Buildings.
TRADITION_DRILLS,Drills,Policy,+30% [icon:YIELD_PRODUCTION] towards training [TIP:LOC_PEDIA_CONCEPTS_INFANTRY_UNITS_TOOLTIP]Infantry[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_RANGED_UNITS_TOOLTIP]Ranged Units[/TIP].,+30% Production towards training Infantry and Ranged Units.
TRADITION_DROTTKVAETT_I,Dróttkvætt I,Tradition,Coastal Raiding and Pillaging with [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP] grants [icon:YIELD_CULTURE] Culture equal to 25% of [icon:Action_Pillage] Pillage Yields and [icon:Action_Heal] Healing.,Coastal Raiding and Pillaging with Naval Units grants Culture equal to 25% of Pillage Yields and Healing.
TRADITION_DROTTKVAETT_II,Dróttkvætt II,Tradition,Coastal Raiding and Pillaging with [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP] grants [icon:YIELD_CULTURE] Culture equal to 50% of [icon:Action_Pillage] Pillage Yields and [icon:Action_Heal] Healing.,Coastal Raiding and Pillaging with Naval Units grants Culture equal to 50% of Pillage Yields and Healing.
TRADITION_DURANI,Dūrāni I,Tradition,+2 [icon:YIELD_CULTURE] Culture in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [icon:RADIAL_TECH] [TIP:LOC_PEDIA_CONCEPTS_TECH_TOOLTIP]Technology Mastery[/TIP] completed this Age.,+2 Culture in the Capital for every Technology Mastery completed this Age.
